"string";"code"
"Ink";1
"Asia";7
"The";11
"Kyrgyz";12
"Republic,";7
"Soviet";3
"This";1
"In";3
"President,";3
"Askar";3
"Akaev,";3
"Parliamentary";3
"Presidential";3
"US";3
"Republic";3
"German";3
"Embassy,";3
"Soros";3
"Foundation";3
"It";3
"However,";1
"At";3
"UV";1
"If";3
"Likewise,";3
"These";3
"Autumn";3
"Republics,";3
"Ukraine";3
"Georgia.";3
"Widely";3
"Local";3
"Others,";3
"Coalition";3
"Non-governmental";3
"Organizations,";3
"Serbia,";1
"South";3
"Africa,";3
"Indonesia";3
"Turkey.";3
"Afghanistan";3
"Christian";3
"Islamic";3
"Other";3
"February.";3
"David";3
"Mikosz";3
"IFES,";3
"China";7
"Chinese";12
"According";3
"Microsoft";7
"Digital";1
"PC";1
"Nicholas";3
"Negroponte,";3
"MIT's";3
"Media";3
"Labs,";3
"He";4
"BBC";3
"World";3
"Service";3
"Go";3
"Linux-based";3
"Technology";1
"Wi-fi";3
"Peru";1
"A";3
"Peru.";1
"Virus";3
"Christmas";7
"Security";3
"Windows";1
"Apple";4
"Google's";7
"Search";3
"Google";7
"UK";4
"TV";12
"British";3
"IBM";12
"Linux";7
"Xbox";7
"EU";3
"Global";3
"PlayStation";7
"Details";1
"Sony's";3
"San";1
"Francisco";3
"Monday.";3
"Sony,";1
"Finding";3
"Re-using";3
"Research";3
"Intel";4
"Scientists";3
"Britons";1
"Sun";12
"Microsystems";3
"Grid";1
"Sun.";3
"So-called";3
"Game";3
"Video";3
"Bioware";1
"Lasers";3
"An";3
"Indian";3
"Tata";7
"Teleservices";3
"Sony";4
"PSP";1
"Warnings";3
"Warning";3
"Net";3
"Piero";12
"Open";3
"Reboot";3
"Solutions";3
"Fake";3
"ID";3
"Trust";3
"Almost";3
"Mobile";3
"Third-generation";3
"That";3
"Iran";1
"Movie";3
"T-Mobile";4
"Unlike";3
"DVD";12
"DVDs";7
"Macrovision.";3
"Hotspot";3
"People";3
"Wireless";3
"Broadreach";3
"Skype";7
"Millions";3
"MP3";7
"Cheaper";3
"Domain";4
"Blind";3
"Moving";3
"Junk";3
"Spam";3
"Sporting";3
"Half-Life";1
"Bafta";7
"BT";4
"Mobiles";1
"Despite";3
"Jupiter.";3
"Concern";3
"RFID";12
"Consumers";1
"Ask";12
"Jeeves";7
"Bloglines";7
"Looks";3
"Kenyan";3
"Yahoo";3
"Yahoo,";3
"Tough";3
"Firms";3
"Creator";3
"Telewest";4
"Sky";7
"Plus";7
"Cable";3
"Plus.";3
"UK,";3
"PVRs";7
"Games";1
"Gadget";3
"Rich";3
"Viruses,";3
"Blog";1
"America";3
"Americans";3
"Software";3
"Savvy";3
"Internet";3
"New";3
"Nintendo";7
"Euro";3
"Nintendo's";1
"DS,";7
"Europe";3
"March,";3
"Smart";3
"Voters";3
"Voting";3
"Bloggies";4
"Nominations";1
"Sunday,";3
"Weblogs";3
"Blogs";3
"Latest";3
"Opera";7
"Web";3
"Spanish";12
"Spin";3
"Norway";1
"What";1
"California";3
"Honour";3
"Bush";3
"Blogger";3
"Camera";1
"Four";3
"Nuclear";3
"Pandas";3
"Home";1
"Podcasts";3
"DIY";3
"Portable";1
"Viewers";1
"Pompeii";1
"Fast";3
"Joke";3
"Progress";3
"By";3
"Argonaut";7
"Jez";1
"San,";3
"Dozens";3
"Concerns";3
"Robots";1
"Attack";3
"Loyalty";3
"Doom";4
"Sci-fi";3
"Golden";3
"Joystick";3
"Commodore";12
"Broadband";3
"Slim";3
"Seamen";3
"Gates";12
"Bill";3
"Consumer";1
"Electronics";3
"Show";3
"Las";3
"Vegas,";3
"Mr";4
"GTA";3
"Putting";3
"Brother'";3
"Literally";3
"Some";3
"London's";3
"Science";3
"Museum,";3
"Future";3
"Face";3
"One";3
"Jeremiah.";3
"Football";4
"Manager";4
"For";3
"Championship";3
"Indeed,";3
"CM";4
"PCs.";3
"Musicians";1
"ITunes";3
"Freeze";3
"DS";12
"No";3
"File-swappers";3
"Legal";3
"Online";3
"After";3
"Doors";3
"Thousands";3
"Who";3
"Metal";7
"Slug";7
"Like";3
"With";3
"But";1
"And";1
"Casual";1
"Supercomputer";1
"First";3
"Swap";3
"Ban";3
"Smartphones";3
"Skulls";12
"Owners";3
"Nokia";3
"Those";3
"Musical";3
"Analyst";3
"Multi-purpose";3
"Computer";3
"Your";3
"Launched";3
"How";3
"Remote";3
"Soon";3
"Gangsters";3
"Row";3
"Music";3
"Man";3
"Toxic";3
"Lifestyle";3
"Faster,";3
"Instead,";3
"Anti-spam";3
"Cyber";3
"Gritty";3
"Prince";3
"Persia";3
"Disney";7
"Within,";3
"Satellite";3
"Darfur";3
"Aid";1
"Sudanese";3
"More";3
"HP";12
"Robotic";3
"Hi-tech";3
"Interactive";3
"Londoners";3
"Parents";3
"Ways";3
"Gamers";1
"Set";3
"Go-ahead";3
"Television";3
"Then";3
"Now";3
"Hollywood";3
"Bond";7
"Humanoid";3
"Car-maker";3
"Honda's";3
"Asimo";7
"Gamer";3
"Poles";3
"GameBoy";4
"Santy";7
"Speech";3
"Napster";4
"Half";3
"UK's";3
"Multimedia";1
"Blinx";7
"Rings";3
"Gambling";3
"Many";3
"EA";7
"Souped-up";3
"Super";3
"UK.";3
"Tech";3
"Speak";3
"Dublin";3
"Dublin's";3
"Hacker";3
"Once";1
"P2P";19
"Big";3
"Rivals";3
"Apple...";3
"What's";3
"Why";3
"Cell";13
"Mac";19
"Can";3
"Mini";15
"Ultra";1
"Thursday";1
"Virgin";11
"Radio";12
"Cebit";14
"Cebit,";3
"Hanover";3
"There";7
"Third";3
"Chip";3
"Slow";3
"Faster";3
"Anti-tremor";3
"Hitachi";4
"Japanese";3
"Emiew,";3
"Have";3
"PC?";3
"Gizmondo";7
"Confusion";3
"Bad";3
"Nasa";3
"Rolling";3
"Long";3
"PCs";3
"Court";12
"Judges";3
"France";3
"TV's";3
"Cebit";14
"Be";3
"Losing";3
"Be";3
